"node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-02-03 12:54:04.174Z",1225800156, 868950000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+10.2,"33000000-4D040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 12:54:07.298Z",1228923732, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-51,+11.0,"32000000-4F040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 12:54:57.445Z",1279068580, 869120000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-53,+11.8,"36000000-31180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 12:55:36.290Z",1317913516, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-51,+12.0,"34000000-4B040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 12:57:08.848Z",1410465604, 868950000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-35,+10.2,"31000000-53040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:00:43.835Z",1625461500, 864640000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-53, +8.8,"35000000-4C040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:04:04.210Z",1825834260, 868780000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-36,+12.5,"33000000-4E040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 13:04:07.333Z",1828957316, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-53,+11.5,"32000000-50040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:04:57.478Z",1879102660, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-47, +9.8,"36000000-32180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:05:36.323Z",1917943524, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-47,+10.5,"34000000-4C040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:07:08.887Z",2010500772, 864300000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-33,+11.8,"31000000-54040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:10:43.878Z",2225496148, 868950000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-55, +8.2,"35000000-4D040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 13:14:04.251Z",2425868204, 868780000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+12.2,"33000000-4F040000-00000000-00000300-00000000-00000000-00000000-00000000"
