"node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-02-04 19:54:10.534Z",1163064980, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-41,+12.0,"33000000-07050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 19:54:13.585Z",1166115324, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-49,+12.5,"32000000-09050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 19:55:03.788Z",1216321972, 869120000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-65,+11.2,"36000000-EB180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 19:55:41.924Z",1254454812, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-51,+12.2,"34000000-05050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 19:57:15.438Z",1347969260, 864300000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-36,+11.0,"31000000-0D050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:00:50.313Z",1562843444, 864780000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-47, +8.8,"35000000-06050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:04:10.569Z",1763099108, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-37,+10.5,"33000000-08050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 20:04:13.621Z",1766149036, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-48,+11.2,"32000000-0A050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:05:03.826Z",1816356092, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-60,+11.0,"36000000-EC180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:05:42.014Z",1854542028, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-52,+12.5,"34000000-06050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:07:15.474Z",1948004308, 869120000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-35,+11.0,"31000000-0E050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:10:50.350Z",2162878604, 869120000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-47, +8.2,"35000000-07050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:14:10.605Z",2363133372, 869120000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39, +9.0,"33000000-09050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 20:14:13.656Z",2366182764, 864780000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-48,+11.5,"32000000-0B050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:15:03.862Z",2416390164, 864640000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-61, +9.2,"36000000-ED180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:15:41.986Z",2454515324, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-53,+11.2,"34000000-07050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:17:15.514Z",2548039764, 864100000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34,+10.5,"31000000-0F050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:20:50.389Z",2762912764, 864300000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-43, +7.5,"35000000-08050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:24:10.637Z",2963167548, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+11.5,"33000000-0A050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 20:24:13.685Z",2966216516, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-46,+10.0,"32000000-0C050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:25:03.894Z",3016424356, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-60,+11.8,"36000000-EE180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:25:42.020Z",3054545668, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-53,+12.0,"34000000-08050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:27:15.551Z",3148075620, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-33,+10.2,"31000000-10050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:30:50.420Z",3362947660, 864100000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-47, +8.2,"35000000-09050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:34:10.669Z",3563201508, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-37, +9.2,"33000000-0B050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 20:34:13.725Z",3566250236, 864640000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-48,+11.2,"32000000-0D050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:35:03.926Z",3616458324, 864640000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-59,+11.8,"36000000-EF180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:35:42.044Z",3654575892, 864780000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-54,+12.2,"34000000-09050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:37:15.649Z",3748182028, 864300000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34,+10.8,"31000000-11050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:40:50.450Z",3962982484, 864780000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-47, +8.2,"35000000-0A050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:44:10.705Z",4163235788, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+11.2,"33000000-0C050000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-04 20:44:13.753Z",4166284060, 864780000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-46,+10.5,"32000000-0E050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:45:03.958Z",4216492436, 864640000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-57, +9.8,"36000000-F0180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:45:42.073Z",4254606108, 868950000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-54,+11.8,"34000000-0A050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:47:15.616Z",  53178572, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-35,+12.2,"31000000-12050000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-04 20:50:50.488Z", 268049972, 864100000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-48, +8.5,"35000000-0B050000-00000000-00000300-01000000-00000000-00000000-00000000"
