"node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-02-03 19:54:05.597Z", 657427492, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39, +9.8,"33000000-77040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 19:54:08.704Z", 660533684, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-53,+12.2,"32000000-79040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 19:54:58.863Z", 710693604, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-55, +9.8,"36000000-5B180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 19:55:37.547Z", 749377900, 864780000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-48, +9.8,"34000000-75040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 19:57:10.316Z", 842144196, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34, +9.8,"31000000-7D040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:00:45.285Z",1057115212, 869400000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-49, +8.8,"35000000-76040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:04:05.635Z",1257461484, 869400000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-37, +9.8,"33000000-78040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 20:04:08.740Z",1260567300, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-51,+10.5,"32000000-7A040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:04:58.898Z",1310727492, 868780000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-54,+10.2,"36000000-5C180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:05:37.583Z",1349408140, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-48,+10.2,"34000000-76040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:07:10.353Z",1442179364, 868780000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-33,+12.0,"31000000-7E040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:10:45.324Z",1657149812, 868950000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-51, +7.0,"35000000-77040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:14:05.669Z",1857495596, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39, +9.2,"33000000-79040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 20:14:08.776Z",1860601140, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-53,+12.0,"32000000-7B040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:14:58.934Z",1910761460, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-54, +9.5,"36000000-5D180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:15:37.613Z",1949438300, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-49,+11.0,"34000000-77040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:17:10.394Z",2042214572, 869400000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34,+10.5,"31000000-7F040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:20:45.361Z",2257184540, 868950000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-51, +8.2,"35000000-78040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:24:05.705Z",2457529724, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+12.0,"33000000-7A040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 20:24:08.811Z",2460634772, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-49,+10.5,"32000000-7C040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:24:58.971Z",2510795524, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-54,+12.0,"36000000-5E180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:25:37.645Z",2549468420, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-49,+12.8,"34000000-78040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:27:10.424Z",2642249908, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34,+12.2,"31000000-80040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:30:45.388Z",2857219300, 868780000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-53, +8.2,"35000000-79040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:34:05.732Z",3057563668, 869400000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+10.2,"33000000-7B040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 20:34:08.835Z",3060668380, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-53,+12.5,"32000000-7D040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:34:58.993Z",3110829508, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-54, +9.2,"36000000-5F180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:35:37.666Z",3149498596, 864100000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-49,+10.0,"34000000-79040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:37:10.456Z",3242285268, 864500000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-34,+10.8,"31000000-81040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:40:45.416Z",3457253876, 868780000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-51, +8.2,"35000000-7A040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:44:05.758Z",3657597756, 864640000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-39,+11.2,"33000000-7C040000-00000000-00000300-00000000-00000000-00000000-00000000"
"","2021-02-03 20:44:08.866Z",3660701892, 864640000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-49,+10.2,"32000000-7E040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:44:59.025Z",3710863460, 864640000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-54,+10.0,"36000000-60180000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:45:37.690Z",3749528804, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-49,+12.0,"34000000-7A040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:47:10.479Z",3842320420, 868780000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-33,+11.2,"31000000-82040000-00000000-00000300-01000000-00000000-00000000-00000000"
"","2021-02-03 20:50:45.447Z",4057288524, 864640000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-53, +8.5,"35000000-7B040000-00000000-00000300-01000000-00000000-00000000-00000000"
