"node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2019-12-07 01:12:43.652Z",2025267884, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-107,+10.0,"02000000-757D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:43.776Z",2025393916, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+11.8,"05000000-7F7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:43.890Z",2025508868, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +2.8,"01000000-747D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:44.111Z",2025727620, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+11.8,"06000000-767D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:45.660Z",2027278564, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-103, +9.2,"02000000-767D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:45.788Z",2027404476, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.0,"05000000-807D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:45.801Z",2027416164, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-99,+11.2,"04000000-D5190000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:45.902Z",2027519556, 864640000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +2.5,"01000000-757D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:46.089Z",2027705116, 864100000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-107, +6.5,"03000000-D5190000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:46.119Z",2027738180, 864500000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.8,"06000000-777D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:47.672Z",2029289252, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105, +9.8,"02000000-777D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:47.796Z",2029415036, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.2,"05000000-817D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:47.912Z",2029530236, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-115, +3.0,"01000000-767D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:48.130Z",2029748748, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+11.5,"06000000-787D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:49.681Z",2031299932, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-107, +9.0,"02000000-787D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:49.809Z",2031425596, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.0,"05000000-827D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:49.921Z",2031540916, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-117, +2.2,"01000000-777D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:50.143Z",2031759308, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-91,+10.8,"06000000-797D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:51.692Z",2033310620, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-107,+10.2,"02000000-797D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:51.820Z",2033436164, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.5,"05000000-837D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:51.934Z",2033551612, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-115, +1.8,"01000000-787D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:52.151Z",2033769876, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+12.0,"06000000-7A7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:53.704Z",2035321300, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105, +9.5,"02000000-7A7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:53.830Z",2035446732, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-93,+11.0,"05000000-847D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:53.944Z",2035562292, 864780000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-115, +0.8,"01000000-797D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:54.162Z",2035780444, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+13.0,"06000000-7B7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:55.565Z",2037181788, 868780000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-97,+10.8,"04000000-D6190000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:55.713Z",2037331980, 864640000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-103, +9.0,"02000000-7B7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:55.839Z",2037457292, 864300000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-95,+12.0,"05000000-857D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:55.853Z",2037470780, 864780000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-106, +6.5,"03000000-D6190000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:55.954Z",2037572972, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-117, +1.0,"01000000-7A7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:56.171Z",2037791012, 864100000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+11.0,"06000000-7C7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-07 01:12:57.723Z",2039342660, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105,+10.5,"02000000-7C7D0000-00000000-00000000-00000000-00000000-00000000-00000000"
